"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1998";"1";"Vår";"S";"Studenter";"363";"227";"136"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"2010";"1";"Vår";"P";"Personer uten studierett";"6";"3";"3"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1997";"1";"Vår";"S";"Studenter";"118";"86";"32"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"2011";"1";"Vår";"P";"Personer uten studierett";"3";"0";"0"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1999";"1";"Vår";"S";"Studenter";"297";"185";"112"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1995";"1";"Vår";"S";"Studenter";"2770";"0";"0"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"2011";"1";"Vår";"S";"Studenter";"7";"3";"4"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1996";"1";"Vår";"S";"Studenter";"352";"210";"142"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"2010";"1";"Vår";"S";"Studenter";"113";"75";"38"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1999";"3";"Høst";"S";"Studenter";"372";"245";"127"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1996";"3";"Høst";"S";"Studenter";"278";"150";"128"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"2010";"3";"Høst";"S";"Studenter";"62";"31";"31"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1997";"3";"Høst";"S";"Studenter";"186";"123";"63"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1995";"3";"Høst";"S";"Studenter";"4140";"0";"0"
"0211";"Høgskolen i Bodø";"000000";"HiBo (uspesifisert underenhet)";"1998";"3";"Høst";"S";"Studenter";"276";"177";"99"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2007";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2004";"3";"Høst";"S";"Studenter";"26";"12";"14"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2001";"1";"Vår";"P";"Personer uten studierett";"3";"0";"0"
